USER1330,Browser331,3,0,0,3,2,2,0,1300,1417.333333,625.3333333,65.66666667,537.3333333,463.6666667,137,760.3333333,44.66666667,359,30.33333333,97024.33333,1190,52.66666667,12.66666667,0,3,1233,1448,578,58,516,456,148,748,417
USER1341,Browser342,1,0,0,1,1,1,0,642,642,327,198,202,2,114,441,179,344,4,31306,471,29,12,0,1,642,642,327,198,202,2,114,441,344
USER1352,Browser353,1,0,0,5,1,1,0,1385,1933,523.4,101.4,645.2,227.8,209.8,730.8,81.2,401.8,20,133052.2,1020,43,11.2,0,5,1450,2058,564,68,699,284,246,738,381
USER1363,Browser364,1,0,0,1,1,1,0,3709,3709,297,398,3113,2715,299,595,377,263,2,27674,259,30,8,0,1,3709,3709,297,398,3113,2715,299,595,263
USER1374,Browser375,1,0,0,1,1,1,0,756,788,360,78,383,305,9,367,55,352,6,37311,416,28,11,0,1,756,788,360,78,383,305,9,367,352
USER1385,Browser386,0,0,0,1,1,1,1725,469,469,366,54,62,3,41,382,30,366,4,32476,443,30,11,0,1,469,469,366,54,62,3,41,382,366
USER1396,Browser397,3,0,0,7,4,2,0,627.5714286,727.7142857,442.5714286,61.71428571,168.8571429,107.1428571,16.71428571,458.1428571,40.71428571,377.5714286,8.571428571,48613.85714,611,39.71428571,11.14285714,0,7,664,691,488,67,190,97,14,500,406
USER1407,Browser408,1,0,0,4,1,1,0,1179.25,1798.25,517,138.25,265,124.5,397.25,893,116.75,413.25,15.75,145867.75,830.5,41.25,11.75,0,4,1314,1847,636,97,251,152,528,1000,381
USER1418,Browser419,1,0,0,0,1,1,0,1021,1021,564,209,409,200,46,605,191,393,8,127227,683,42,14,0,1,1021,1021,564,209,409,200,46,605,393
USER1429,Browser430,1,0,0,1,1,1,0,625,781,372,94,204,110,34,404,72,283,5,57386,516,39,8,0,1,625,781,372,94,204,110,34,404,283
USER1440,Browser441,2,0,0,2,1,1,0,815.5,952.5,336,73.5,477,402,3,321,51.5,287.5,6,98177.5,833,42.5,11,0,2,1113,1387,338,84,773,708,3,322,298
USER1451,Browser452,1,0,0,1,1,1,1554,429,469,339,50,58,4,32,370,29,340,6,48466,526,40,8,0,1,429,469,339,50,58,4,32,370,340
USER1462,Browser463,1,0,0,1,1,1,0,2175,2175,1766,75,100,24,310,2045,51,1780,2,29011,341,31,8,0,1,2175,2175,1766,75,100,24,310,2045,1780
USER1473,Browser474,1,0,0,1,1,1,0,778,778,297,216,444,228,38,317,193,370,10,38584,478,32,13,0,1,778,778,297,216,444,228,38,317,370
USER1484,Browser485,0,0,0,3,2,2,1305780,4877,5199.666667,1246,1005.333333,2400.333333,1326.333333,1231.333333,2476.333333,984,412,14.33333333,93073.33333,622.6666667,32.33333333,11,0,3,4401,4401,824,616,2539,1740,638,1620,417
USER1495,Browser496,4,0,0,8,5,4,0,917,1571.75,433.5,100.625,426.875,323.125,56.75,489.625,78.125,380.375,19.375,85553.875,913.25,42.25,10.75,0,8,1130,1336,527,104,570,473,94,575,451
USER1506,Browser507,2,0,0,1,1,1,0,870,1125,520,234,326,91,25,532,214,395,16,60513,1369,42,9,0,1,870,1125,520,234,326,91,25,532,395
USER1517,Browser518,0,0,0,1,1,1,0,4852,4852,324,49,1861,1381,2667,2964,27,281,2,132851,660,32,8,0,1,4852,4852,324,49,1861,1381,2667,2964,281
USER1528,Browser529,2,0,0,2,2,1,0,532.5,532.5,408.5,58.5,103,44.5,21.5,430,39,400.5,4,54676,660.5,40,10.5,0,2,543,543,420,61,105,45,23,443,401
USER1539,Browser540,2,0,0,2,2,1,0,690,690,295,203.3333333,287.6666667,83.33333333,107.3333333,388.3333333,181,386,3.666666667,43962.66667,538,39,13,0,3,808,808,387,407,490,88,248,615,435
USER1550,Browser551,2,0,0,4,1,1,0,827,827,424.25,155.5,288,132.5,115,443.25,133.25,397,4.5,35565.5,538,29.75,11.75,0,4,838,838,452,179,305,135,118,480,422
USER1561,Browser562,1,0,0,4,3,3,0,842.25,1581,528.75,76,285,207.25,29.25,557.25,55.25,491,17.25,81000.25,818.25,41.25,11,0,4,747,933,477,78,306,226,54,480,468
USER1572,Browser573,1,0,0,1,1,1,1533,426,449,367,52,59,2,1,365,30,333,6,51108,553,40,8,0,1,426,449,367,52,59,2,1,365,333
USER1583,Browser584,0,0,0,1,1,1,0,2393,2532,413,1,1877,1876,104,513,0,368,10,48942,475,41,11,0,1,2393,2532,413,1,1877,1876,104,513,368
USER1594,Browser595,2,0,0,2,2,2,0,723.5,723.5,362.5,99.5,198,98.5,164,526,79.5,331.5,7,42088.5,539.5,40,11.5,0,2,788,788,371,115,199,115,221,591,346
USER1605,Browser606,1,0,0,1,1,1,0,8091,9292,2404,923,3244,2319,2444,4844,902,260,5,74234,820,40,8,0,1,12779,12779,5079,1599,3244,2319,4792,9871,432
USER1616,Browser617,1,0,0,1,1,1,16335,464,464,399,52,57,2,9,407,29,391,22,76659,636,44,12,0,1,464,464,399,52,57,2,9,407,391
USER1627,Browser628,1,0,0,0,1,1,0,869,869,332,86,206,83,330,657,64,333,4,30517,411,26,11,0,1,869,869,332,86,206,83,330,657,333
USER1638,Browser639,2,1,0.97,5,2,1,0,620.4,848.4,466.8,1.2,117.8,116.6,36.4,502.8,0,401.8,24,81484.4,933.4,48.8,13.4,0,5,682,1128,512,2,140,139,38,537,431
USER1649,Browser650,2,0,0,1,1,1,0,1081,2711.5,321.5,1,689,688,71.5,391.5,0,401,10.5,65553.5,822.5,41,11.5,0,2,990,1112,97,1,804,803,60,175,457
USER1660,Browser661,1,0,0,1,1,1,0,814,814,593,86,179,79,42,633,66,439,11,54141,787,44,14,0,1,814,814,593,86,179,79,42,633,439
USER1671,Browser672,6,0,0,2,3,3,56685.44444,2669.777778,3158.777778,349.4444444,127.3333333,744.6666667,356.3333333,1575.777778,1289,107.1111111,330,10.66666667,47444.77778,634.1111111,38.22222222,11.55555556,0,9,3059,3263,421,175,907,399,1410,1120,399
USER1682,Browser683,1,0,0,1,1,1,0,476,476,267,78,132,54,77,344,57,316,2,27634,304,30,8,0,1,476,476,267,78,132,54,77,344,316
USER1693,Browser694,1,0,0,1,1,1,0,955,1020,400,42,463,419,92,492,18,456,27,80085,795,44,8,0,1,955,1020,354,42,463,233,88,432,395
USER1704,Browser705,2,0,0,2,2,2,0,1395.5,1395.5,551.5,2,831.5,829.5,6,557,0,307,4.5,34984.5,414,37,7,0,2,1749,1749,605,2,1131,1129,7,610,332
USER1715,Browser716,13,0,0,10,5,2,0,1564.384615,1670.461538,469.6923077,753.6923077,1073.076923,317.8461538,22.46153846,491.0769231,730,256.6153846,9.923076923,63084,662.3846154,42.92307692,8.153846154,0,13,2587,2676,834,183,1170,743,23,846,265
USER1726,Browser727,1,0,0,0,1,1,0,562,562,368,58,120,60,74,386,38,299,4,30059,423,27,11,0,1,562,562,368,58,120,60,74,386,299
USER1737,Browser738,1,0,0,0,1,1,0,296,296,219,1,53,52,24,241,0,239,2,28105,376,28,10,0,1,296,296,219,1,53,52,24,241,239
